Accession
C1G0D4
C1GM00
C1G5F6
C1G065
C1GHS5
C1GEN5
C1GA17
C1G064
A0A0A0HUJ5
C1G810
C1G1F2
C1G3Y8
C1GMV8
C1GLI9
A0A0A0HS69
C1GGT8
C1G712
A0A0A0HT80
C1GKC9
C1G391
C1GBJ2
C1G0E5
C1G9P8
C1GDK2
C1G0E3
C1G821
C1GM03
C1GLI2
C1G1T5
C1G002
C1G989
C1G283
A0A0A0HWK8
C1GBT0
C1GAM9
C1GAG4
C1G2V1
C1GG76
C1G0X4
C1GDJ1
C1G6T3
C1FYR6
C1G3C4
C1GHJ0
C1G3L4
C1G371
C1G942
C1GFA3
C1GIX7
C1G9X3
C1G9C0
C1G3T6
A0A0A0HV62
C1GLA5
C1GA20
C1GK99
C1GMU5
C1G3T9
C1GB47
C1GMZ1
C1GLX8
C1GE52
C1GA13
C1GAG3
C1G2J3
C1GEM8
C1GLU6
C1GBZ4
A0A0A0HVP8
C1GHV2
C1FZ57
C1GII4
C1GAT8
C1GFG5
C1G8H6
C1FZT8
A0A0A0HWS3
C1GJS2
C1G4M5
A0A0A0HT22
C1GAF5
C1G5V6
C1GLM2
C1GEX7
C1FZI7
C1G820
C1GCI0
C1G1C8
C1FYX6
C1GMI6
C1G411
C1G9D7
C1GLV8
C1GB65
C1G6U5
C1GCX5
C1GBM4
A0A0A0HU84
C1GHE4
C1GEU2
C1GLJ7
C1GN78
C1GIP8
C1GL73
C1G6F6
C1GDA8
C1G373
C1G7C1
C1G3D9
C1FYJ7
C1GH49
A0A0A0HV89
C1G647
A0A0A0HT57
C1GE59
C1G4K3
C1GCV9
C1G4T5
C1GLM4
C1GG77
C1G1P0
C1G5X0
C1GDK4
A0A0A0HRM2
C1GLU1
