Accession
C1G0D4
C1GM00
C1G5F6
C1G065
C1GHS5
C1GEN5
C1GA17
C1G064
A0A0A0HUJ5
C1G810
C1G1F2
C1G3Y8
C1GMV8
C1GLI9
A0A0A0HS69
C1GGT8
C1G712
A0A0A0HT80
C1GKC9
C1G391
C1GBJ2
C1G0E5
C1G9P8
C1GDK2
C1G0E3
C1G821
C1FYW9
C1GM03
C1GLI2
C1GCT8
C1G1T5
C1G002
C1G989
C1G283
A0A0A0HWK8
C1GBT0
C1GAM9
C1GAG4
C1G2V1
C1GG76
C1G0X4
C1GDJ1
C1G6T3
C1FYR6
C1G3C4
C1GHJ0
C1G3L4
C1G371
C1G942
C1GFA3
C1GIX7
C1G9X3
C1G9C0
A0A0A0HWY2
C1G3T6
A0A0A0HV62
C1GLA5
C1GA20
C1GK99
C1GMU5
C1G3T9
C1GB47
C1GMZ1
C1GLX8
C1GE52
C1GA13
C1GN52
C1GAG3
C1G2J3
C1GEM8
C1GLU6
C1GBZ4
C1GCK9
A0A0A0HVP8
C1GHV2
C1FZ57
C1GII4
C1GAT8
C1GFG5
C1G8H6
C1FZT8
A0A0A0HWS3
C1GJS2
C1G4M5
A0A0A0HT22
C1GAF5
C1G5V6
C1GLM2
C1GEX7
C1FZI7
C1G820
C1GCI0
C1G1C8
C1FYX6
C1GMI6
C1G411
C1G9D7
C1GLV8
C1GB65
C1G6U5
A0A0A0HV09
C1GCX5
C1G1P4
C1FYJ9
C1G248
C1GKG3
C1GBM4
A0A0A0HU84
C1G172
C1GN83
C1GHE4
C1G0N2
C1G8F9
A0A0A0HYV6
C1GKR7
C1G4K1
C1GEU2
C1GLJ7
C1GML7
C1GN78
C1G766
C1GB13
C1GBE8
C1G4N0
C1G0G4
C1G3N7
C1GHN2
C1G7L4
C1GF71
C1G479
C1G5M9
C1G2S7
C1GAW6
C1GCG8
C1FZ00
C1G5J0
C1G496
C1G9M3
C1GHN0
C1GIP8
C1FYJ6
C1GJI0
C1GJ83
C1GA14
C1G9U1
C1G736
C1G349
C1GB79
C1GL73
C1GGI0
C1GKE7
A0A0A0HQN9
C1G6F6
C1G570
C1G631
C1GEX6
C1G7A3
C1GJB5
C1GAC4
C1GBG9
C1GDA8
C1G9F5
C1G9X9
C1GM08
C1FYE5
C1GN84
C1FZL1
C1GHD6
C1G373
C1G9U8
C1G7C1
C1G9T0
A0A0A0HVH2
C1G6U8
C1G3D9
C1G945
C1FYJ7
C1GH49
C1GHM0
C1GE03
C1G2F3
C1G606
C1G1V9
A0A0A0HV89
C1G4C0
C1G647
C1G1D9
C1G6E6
C1G0P4
C1GEG2
A0A0A0HT57
C1GCF0
C1GC65
C1G194
C1GLB8
C1GBT4
C1GK89
C1G0P0
C1GC48
C1FZG1
C1GGA8
A0A0A0HV38
C1G9X0
C1GG28
C1GI70
C1GKQ6
C1GLV1
A0A0A0HVT2
C1G2I2
C1FYM2
C1FYR1
C1FYK9
C1GAY4
C1GMI8
C1GBG1
C1GHB9
C1GA81
C1G233
C1GKL8
C1GJT8
C1GDE1
C1GA97
A0A0A0HWQ9
C1GHF5
C1GJD9
C1GGR5
A0A0A0HRG7
C1GGQ1
C1G3M0
C1G1G2
C1FYH3
C1G7V1
C1G3V5
C1G1M5
C1G437
C1FYN4
C1GE59
C1G4P8
C1G1L3
C1G4K3
C1G8S5
C1GK98
C1GBN3
A0A0A0HX63
C1G5P1
C1GFT4
C1GCV9
C1G9R9
C1G4T5
C1FYF6
C1G1M0
C1GKG2
A0A0A0HS42
C1G413
C1G561
C1G6I0
C1G2H4
C1GB04
C1GHF6
A0A0A0HWJ2
C1G9D5
C1GFM6
C1G6S0
C1G1R3
C1GAW5
C1GLM4
C1G0B0
C1G3P9
C1GAE3
C1G159
C1G5Y7
C1GMC5
C1G388
C1GEW2
C1G957
C1FZL2
C1GDL1
C1GG77
C1G8E5
C1GAW1
C1GAM5
C1GBT3
C1GBC4
C1GFU1
C1GGZ4
C1GDR7
C1G9Z7
C1G1P0
C1GAA3
C1GLX7
C1GJ98
C1GDP1
C1G0C5
C1GEE2
A0A0A0HU09
C1G1Y1
C1GB82
A0A0A0HST0
A0A0A0HT88
C1GM22
C1GAQ4
C1GA10
C1G4D1
C1GEC6
C1GKU6
C1G785
C1GA89
C1G675
C1FZH6
C1GIR8
C1G547
C1G5X0
C1G6M3
C1GE98
C1G5T0
C1G5P0
C1GCK7
C1GK66
C1GDK4
C1G0U1
C1GF12
C1GMC8
C1G255
C1GIR0
C1GA32
C1FZ06
A0A0A0HRM2
C1GD94
C1G2Y7
C1GFR7
C1GBG4
C1GFB1
C1G6B0
C1G5Y3
C1GC66
C1G3V2
C1GC92
C1GA71
C1GBN1
C1GB89
C1GCZ4
A0A0A0HVY3
C1FZF8
C1G7B3
C1GIW6
C1G635
C1GAA6
C1GI12
C1GED5
C1G4R2
C1G5K1
C1GKW0
C1GFL2
C1G2Z9
C1GAH4
C1GB49
C1G1J4
C1GLT7
C1FYX3
C1G0X9
C1GHV7
C1G092
C1GF83
C1G2W2
C1GF52
C1GLU1
C1G6Q5
C1FYW7
C1GGG3
C1G4F7
C1GF47
C1G9A5
C1G8N6
C1GA42
A0A0A0HYY2
C1GB27
C1G6G2
C1GKQ4
C1GIN4
A0A0A0HTQ5
C1G560
C1G5E8
C1G4I1
C1G9A3
C1G9U4
A0A0A0HR72
C1G7K8
C1GDK5
C1GLA6
C1G2R2
C1GEX3
C1GE74
C1G7G3
C1GBP4
A0A0A0HW80
C1GLE5
C1GAM1
C1GF70
C1G0X3
C1G017
A0A0A0HVZ4
C1FZC6
C1G8D0
C1G0X0
C1FYK2
C1GB62
C1GIE3
