Accession
C1GM00
C1G0D4
C1G5F6
C1G065
C1GEN5
C1G1F2
C1GHS5
C1GLI2
C1G712
C1GKC9
C1G810
A0A0A0HUJ5
C1GLI9
C1GMV8
C1G3Y8
C1GLX8
C1G064
C1G9P8
C1GA17
C1GCT8
C1GGT8
A0A0A0HS69
C1G391
A0A0A0HT80
C1G3L4
C1GLU6
A0A0A0HWK8
C1GFA3
C1G0E5
C1G1T5
C1GMU5
C1GIX7
C1G6T3
C1G002
C1GM03
C1GBJ2
C1GHJ0
C1GG76
C1G0E3
C1GII4
C1FYR6
C1GA14
C1FYJ9
C1G3C4
C1G9X3
C1G821
C1FZR3
C1GLA5
C1G5V6
C1GAM9
C1GLV8
A0A0A0HWY2
C1GA13
C1G942
C1G2V1
C1G2J3
C1GMZ1
C1G4N0
C1GDK2
C1G371
C1FZT8
C1FYX6
C1G0X4
C1GB47
C1GA20
C1G283
C1G0N2
C1GK98
C1GKG3
C1GE52
A0A0A0HV62
C1GHV2
C1GCI0
C1GBZ4
C1G989
C1GLM2
C1FZR2
A0A0A0HV09
C1G3T6
C1GAG4
C1GCK9
C1GFG5
C1GEX7
C1FZI7
C1GAG3
C1GB65
C1G6F6
C1G9C0
C1GC65
C1GML7
C1GAT8
C1G6U5
C1GHD6
A0A0A0HVP8
C1G411
C1GCX5
C1GF71
C1GHE4
A0A0A0HYV6
A0A0A0HWS3
C1GJ83
C1GGI0
C1FZ57
C1GJI0
C1GDJ1
C1G0T1
C1G820
C1GHN2
C1G8F8
C1G3V5
C1G5Y7
C1G0S7
C1GLJ7
C1GFB1
C1GAY4
A0A0A0HRG7
C1GDA8
C1GKQ6
C1G9A5
C1GGQ7
C1FYJ7
C1GIR0
C1GA97
A0A0A0HU09
C1G6I0
C1GJY9
C1GF47
C1GFL2
C1GD55
C1G0A1
C1GEX3
C1GH63
A0A0A0HVZ1
